limiar,alertas_antecipados,falsos_positivos,beneficio_liquido
0.009038615411006735,158,15611,-4785384.476687117
0.009064311969502272,158,15509,-4739484.476687117
0.00909243844947143,158,15405,-4692684.476687117
0.009118653042132337,158,15302,-4646334.476687117
0.009149361473828903,158,15198,-4599534.476687117
0.009179418847372448,158,15096,-4553634.476687117
0.009209313511700064,158,14993,-4507284.476687117
0.009244361481441421,158,14890,-4460934.476687117
0.009272464435018175,157,14788,-4429208.94202454
0.009313211294887708,157,14684,-4382408.94202454
0.009344801664585409,157,14581,-4336058.94202454
0.009374171740390666,157,14478,-4289708.94202454
0.00941151493886331,157,14375,-4243358.94202454
0.009441028353616794,157,14271,-4196558.94202454
0.00948531622309234,157,14167,-4149758.94202454
0.009522572359405571,157,14064,-4103408.94202454
0.009564010824887252,157,13961,-4057058.94202454
0.009600710184368484,157,13859,-4011158.94202454
0.009643787107305613,157,13754,-3963908.94202454
0.009678273466556917,157,13651,-3917558.94202454
0.009713209044798244,156,13548,-3885383.4073619633
0.009750107561040016,156,13445,-3839033.4073619633
0.009789659997943937,156,13342,-3792683.4073619633
0.009827073461373466,156,13239,-3746333.4073619633
0.00986427461291673,155,13137,-3714607.872699387
0.00990702576718822,155,13033,-3667807.872699387
0.00994845271049058,155,12930,-3621457.872699387
0.009986532453067383,155,12826,-3574657.872699387
0.01002521775646152,155,12722,-3527857.872699387
0.01006399470331688,155,12618,-3481057.872699387
0.010111132811959897,154,12515,-3448882.33803681
0.010153763340401403,154,12412,-3402532.33803681
0.010197979268022107,154,12309,-3356182.33803681
0.010243594130552333,154,12205,-3309382.33803681
0.010296126824449772,154,12102,-3263032.33803681
0.010345901500781282,154,11998,-3216232.33803681
0.0103928049431353,154,11895,-3169882.33803681
0.010440349968190314,154,11791,-3123082.33803681
0.010500714148161358,154,11688,-3076732.33803681
0.010545409117510842,154,11585,-3030382.33803681
0.010592164906115878,154,11481,-2983582.33803681
0.010658258267329227,154,11379,-2937682.33803681
0.0107105304808582,154,11277,-2891782.33803681
0.010768471906913001,154,11174,-2845432.33803681
0.01083411926112374,154,11070,-2798632.33803681
0.010896364124215385,154,10968,-2752732.33803681
0.010964568274013585,154,10865,-2706382.33803681
0.011015370461045965,154,10763,-2660482.33803681
0.011067510186890936,154,10658,-2613232.33803681
0.011120430731793732,154,10554,-2566432.33803681
0.011183760901724252,154,10450,-2519632.33803681
0.011249408697598039,154,10347,-2473282.33803681
0.011308204536572431,154,10245,-2427382.33803681
0.01136817225555589,153,10144,-2396106.803374233
0.011418791940147548,153,10043,-2350656.803374233
0.011495345071648956,152,9940,-2318481.268711657
0.011562862667793397,152,9838,-2272581.268711657
0.011632526645161992,151,9735,-2240405.73404908
0.011706113218642991,151,9632,-2194055.73404908
0.011779110682220904,151,9528,-2147255.73404908
0.011843631175091626,151,9424,-2100455.73404908
0.011914989671405394,151,9321,-2054105.73404908
0.011978855378754587,150,9219,-2022380.1993865035
0.012048300614747666,150,9115,-1975580.1993865035
0.012110923277950929,150,9011,-1928780.1993865035
0.012186677504158652,150,8909,-1882880.1993865035
0.01225750836172853,150,8806,-1836530.1993865035
0.012336201941498655,149,8705,-1805254.6647239267
0.012404375277590553,149,8602,-1758904.6647239267
0.012469654318531049,149,8501,-1713454.6647239267
0.012547742673016296,148,8399,-1681729.1300613498
0.01261795131241607,148,8295,-1634929.1300613498
0.0126980965120499,148,8193,-1589029.1300613498
0.012772248971914906,148,8089,-1542229.1300613498
0.012865272269795608,148,7985,-1495429.1300613498
0.012938886266803779,148,7881,-1448629.1300613498
0.013044530366365973,148,7778,-1402279.1300613498
0.013135498828409505,148,7675,-1355929.1300613498
0.013257407699843113,148,7571,-1309129.1300613498
0.013357345950081709,148,7467,-1262329.1300613498
0.013436302311868126,148,7364,-1215979.1300613498
0.013541574688428143,148,7261,-1169629.1300613498
0.013653765187310972,148,7158,-1123279.1300613498
0.01375361790481445,148,7053,-1076029.1300613498
0.013877475375348631,148,6950,-1029679.1300613498
0.013991949208758767,147,6848,-997953.5953987732
0.014100130902052964,147,6744,-951153.5953987732
0.014211080610371775,147,6642,-905253.5953987732
0.014340815678919186,147,6539,-858903.5953987732
0.014492467670178972,147,6435,-812103.5953987732
0.01463213927724403,147,6333,-766203.5953987732
0.014775632314130826,147,6229,-719403.5953987732
0.014909654230310973,147,6126,-673053.5953987732
0.015035759165718204,147,6024,-627153.5953987732
0.015181166885535231,147,5920,-580353.5953987732
0.015338837434803796,146,5820,-549528.0607361966
0.015504855313234795,146,5717,-503178.0607361966
0.015680724431204027,145,5615,-471452.52607361996
0.01588733113302882,145,5511,-424652.52607361996
0.016080357499383115,145,5407,-377852.52607361996
0.01625335340545325,145,5306,-332402.52607361996
0.016471305675309595,145,5200,-284702.52607361996
0.01665977491922302,145,5096,-237902.52607361996
0.016906008980181676,145,4993,-191552.52607361996
0.017181820012287456,145,4889,-144752.52607361996
0.017420585844816906,145,4786,-98402.52607361996
0.017678468241513277,145,4685,-52952.526073619956
0.017947653709841773,145,4582,-6602.526073619956
0.018240457709912877,145,4479,39747.473926380044
0.018620336663166256,145,4375,86547.47392638004
0.019023476901161265,145,4274,131997.47392638004
0.019384480341290006,145,4176,176097.47392638004
